instance;n_test;pop_size;gen_no_improve;mutating_move;mutating_factor;elite_size;max_generation;top_solution;elite_mean;total_time_sec;solution_time;timestamp
1-10_dots;test-0;25;350;1;10;10;356;264,7168;269,5;20,10339879989624;0,7475073337554932;2023-11-27 21:46:42,965397
1-10_dots;test-0;25;350;1;10;10;357;264,7168;269,5;20,737432718276978;0,8238570690155029;2023-11-27 21:55:36,142955
1-10_dots;test-0_pop100;100;100;5;10;10;135;264,7168;269,5;9,630513906478882;2,65384840965271;2023-11-11 20:37:59,853555
1-10_dots;test-0_pop25;25;100;1;10;10;109;264,7168;269,5;2,511915445327759;0,5099897384643555;2023-11-11 20:35:32,643677
1-10_dots;test-0_pop25;25;50;1;10;10;66;264,7168;269,5;1,490356206893921;0,5318272113800049;2023-11-11 21:12:37,977357
1-10_dots;test-0_pop25;25;100;1;10;10;117;264,7168;269,5;2,522688150405884;0,4595351219177246;2023-11-11 21:12:54,021212
1-10_dots;test-0_pop25;25;500;1;10;10;503;264,7168;269,5;11,441666603088379;0,2017655372619629;2023-11-11 21:13:28,286209
1-10_dots;test-0_pop25;25;100;1;10;10;104;264,7168;269,5;2,1876418590545654;0,20334959030151367;2023-11-11 21:15:10,167930
1-10_dots;test-0_pop25;25;50;1;10;10;52;264,7168;269,5;1,2004401683807373;0,21782612800598145;2023-11-11 21:35:00,054561
1-10_dots;test-0_pop25;25;150;1;10;10;155;264,7168;269,5;3,456360340118408;0,2258892059326172;2023-11-11 21:35:09,508337
1-10_dots;test-0_pop25;25;350;1;10;10;355;264,7168;269,5;7,817419767379761;0,21770954132080078;2023-11-11 21:35:32,981424
1-10_dots;test-0_pop25;25;450;1;10;10;455;264,7168;269,5;8,151413440704346;0,18216776847839355;2023-11-11 21:36:11,114447
1-10_dots;test-0_pop25;25;600;1;10;10;610;264,7168;269,5;10,731338024139404;0,27332210540771484;2023-11-11 21:36:54,947683
1-10_dots;test-0_pop50;50;100;2;10;10;113;264,7168;269,5;4,491837501525879;0,6180815696716309;2023-11-11 20:36:00,517297
1-10_dots;test-0_pop75;75;100;3;10;10;129;264,7168;269,62;6,438756227493286;1,5185744762420654;2023-11-11 20:36:52,409915
1-10_dots;test-1;25;350;1;10;10;353;264,7168;269,5;19,48515248298645;0,5036571025848389;2023-11-27 21:47:02,775832
1-10_dots;test-1_pop100;100;100;5;10;10;162;264,7168;269,5;11,555447340011597;4,48466944694519;2023-11-11 20:38:11,524229
1-10_dots;test-1_pop25;25;100;1;10;10;113;264,7168;269,5;2,54046368598938;0,46341776847839355;2023-11-11 20:35:35,328371
1-10_dots;test-1_pop25;25;50;1;10;10;55;264,7168;269,5;1,3632819652557373;0,241013765335083;2023-11-11 21:12:39,457346
1-10_dots;test-1_pop25;25;100;1;10;10;105;264,7168;269,5;2,2741363048553467;0,2113206386566162;2023-11-11 21:12:56,408210
1-10_dots;test-1_pop25;25;500;1;10;10;501;264,7168;269,5;10,64097285270691;0,14730072021484375;2023-11-11 21:13:39,048317
1-10_dots;test-1_pop25;25;100;1;10;10;124;264,7168;269,5;3,085988759994507;0,6392536163330078;2023-11-11 21:15:13,367870
1-10_dots;test-1_pop25;25;50;1;10;10;55;264,7168;269,5;1,1545965671539307;0,2161266803741455;2023-11-11 21:35:01,319756
1-10_dots;test-1_pop25;25;150;1;10;10;168;264,7168;269,5;3,7314043045043945;0,5080327987670898;2023-11-11 21:35:13,360653
1-10_dots;test-1_pop25;25;350;1;10;10;354;264,7168;269,5;7,954754590988159;0,19811153411865234;2023-11-11 21:35:41,055294
